Locus	sdhD (K00242)	sucB (K00658)	gltA (K01647)	aspB/C (K00812)	gdhX (K15371)	lpd (K00382)	maeB (K00029)	sdhB (K00240)	sucC (K01903)	fumC (K01679)	acnA (K01681)	mdh (K00024)	sdhC (K00241)	sucD (K01902)	sucA (K00164)	lpd (K00382)	sdhA (K00239)	icd (K00031)	glnA (K01915)
Rickettsia_rickettsii_str._Hino	125	395	435	401	1584	459	766	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_rickettsii_str._Hlp#2	125	395	435	401	1584	459	766	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_rickettsii_str._Iowa	125	395	435	401	1584	459	808	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_rickettsii_str._Morgan	125	395	435	401	1584	459	801	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_rickettsii_str._R	125	395	434	401	1584	459	788	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_rickettsii_str._Sheila_Smith	125	395	434	401	1584	459	766	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_sibirica_246	126	395	435	401	1583	459	797	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_sibirica_subsp._mongolitimonae_HA-91	126	395	435	401	1583	459	802	261	386	463	878	314	124	258	928	459	596	483	277
Rickettsia_sibirica_subsp._sibirica_BJ-90	126	395	435	401	1583	459	802	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_slovaca_13-B	126	395	435	401	1582	459	802	261	386	463	878	314	124	258	928	459	596	483	277
Rickettsia_slovaca_str._D-CWPP	126	395	435	401	1582	459	767	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_sp._Adalia	125	400	435	399	1466	462	767	261	386	463	878	0	124	292	879	459	596	483	0
Rickettsia_sp._ISO7	125	401	435	400	1633	459	767	261	386	463	878	314	124	292	928	458	596	483	167
Rickettsia_sp._Ich	127	400	424	400	1590	459	769	261	385	454	883	314	129	290	929	465	596	410	259
Rickettsia_sp._MEAM1_str._Bemisia_tabaci	125	398	435	399	1583	459	265	261	386	424	881	314	125	291	380	459	0	483	0
Rickettsia_tamurae_AT-1	125	401	435	400	1634	459	796	261	386	463	875	314	124	292	983	458	596	483	277
Rickettsia_typhi_str._B9991CWPP	125	398	436	399	1581	459	767	261	386	461	878	314	124	292	933	459	596	483	276
Rickettsia_typhi_str._TH1527	125	398	436	399	1581	459	767	261	386	461	878	314	124	292	933	459	596	483	276
Rickettsia_typhi_str._Wilmington	125	398	436	399	1581	459	767	261	386	461	878	314	124	292	933	459	596	483	276
